1,"lcm_case","id_case","case_input_id","number",""
2,"lcm_case","title","case_input_title","text",""
3,"lcm_case","date_creation","time_input_date_creation","date",""
4,"lcm_case","date_assignment","case_input_date_assigned","date",""
5,"lcm_case","date_update","case_input_date_updated","date",""
6,"lcm_case","legal_reason","case_input_legal_reason","text",""
7,"lcm_case","alledged_crime","case_input_alledged_crime","text",""
8,"lcm_case","status","case_input_status","text","list:draft,open,closed,suspended,merged,deleted:case_status_option_"
9,"lcm_case","stage","case_input_stage","text","keyword:system_kwg:stage"
10,"lcm_case","count(*)","rep_input_field_count","number",""
11,"lcm_stage","id_case","case_input_id","number",""
12,"lcm_stage","kw_case_stage","case_input_stage","text","keyword:system_kwg:stage"
13,"lcm_stage","date_creation","time_input_date_creation","date",""
14,"lcm_stage","date_conclusion","case_input_date_conclusion","date",""
15,"lcm_stage","kw_result","case result","text","keyword:system_kwg:_crimresults"
16,"lcm_stage","kw_conclusion","fu_input_conclusion","text","keyword:system_kwg:conclusion"
17,"lcm_stage","kw_sentence","fu_input_sentence","text","keyword:system_kwg:sentence"
18,"lcm_stage","sentence_val","sentence val","number",""
19,"lcm_stage","count(*)","rep_input_field_count","number",""
20,"lcm_author","id_author","authoredit_input_id","number",""
21,"lcm_author","id_office","id_office","number",""
22,"lcm_author","name_first","person_input_name_first","text",""
23,"lcm_author","name_middle","person_input_name_middle","text",""
24,"lcm_author","name_last","person_input_name_last","text",""
25,"lcm_author","date_creation","time_input_date_creation","date",""
26,"lcm_author","status","authoredit_input_status","text","list:admin,normal,external,trash:authoredit_input_status_"
27,"lcm_author","count(*)","count","number",""
28,"lcm_client","id_client","client_input_id","number",""
29,"lcm_client","name_first","person_input_name_first","text",""
30,"lcm_client","name_middle","person_input_name_middle","text",""
31,"lcm_client","name_last","person_input_name_last","text",""
32,"lcm_client","date_creation","time_input_date_creation","date",""
33,"lcm_client","citizen_number","person_input_citizen_number","text",""
34,"lcm_client","civil_status","person_input_civil_status","text","keyword:system_kwg:civilstatus"
35,"lcm_client","income","person_input_income","number","keyword:system_kwg:income"
36,"lcm_client","gender","person_input_gender","text","list:female,male,unknown:person_input_gender_"
37,"lcm_client","count(*)","count","number",""
38,"lcm_followup","id_followup","fu_input_id","number",""
39,"lcm_followup","id_case","case_input_id","number",""
40,"lcm_followup","id_author","authoredit_input_id","number",""
41,"lcm_followup","type","fu_input_type","text","keyword:system_kwg:followups"
42,"lcm_followup","case_stage","case_input_stage","text","keyword:system_kwg:stage"
43,"lcm_followup","description","fu_input_description","text",""
44,"lcm_followup","sumbilled","fu_input_sum_billed","currency",""
45,"lcm_followup","date_start","time_input_date_start","date",""
46,"lcm_followup","date_end","time_input_date_end","date",""
47,"lcm_followup","IF(UNIX_TIMESTAMP(fu.date_end) > UNIX_TIMESTAMP(fu.date_start), UNIX_TIMESTAMP(fu.date_end)-UNIX_TIMESTAMP(fu.date_start), 0)","time_input_length","number",""
48,"lcm_followup","count(*)","count","number",""
